2026-02-26T14:44:27Z watchdog: log file missing, no action
2026-02-28T15:30:01Z watchdog: stalled (age=1109m) but max restarts reached (10), no action
2026-02-28T15:35:01Z watchdog: stalled (age=1114m) but max restarts reached (10), no action
2026-02-28T15:40:02Z watchdog: stalled (age=1119m) but max restarts reached (10), no action
2026-02-28T15:45:01Z watchdog: stalled (age=1124m) but max restarts reached (10), no action
2026-02-28T15:55:01Z watchdog: stalled (age=1134m) but max restarts reached (10), no action
2026-02-28T16:05:01Z watchdog: stalled (age=1144m) but max restarts reached (10), no action
2026-02-28T16:15:01Z watchdog: stalled (age=1154m) but max restarts reached (10), no action
2026-02-28T16:20:01Z watchdog: stalled (age=1159m) but max restarts reached (10), no action
2026-02-28T16:25:01Z watchdog: stalled (age=1164m) but max restarts reached (10), no action
2026-02-28T16:30:01Z watchdog: stalled (age=1169m) but max restarts reached (10), no action
2026-02-28T16:40:01Z watchdog: stalled (age=1179m) but max restarts reached (10), no action
2026-02-28T17:00:01Z watchdog: stalled (age=1199m) but max restarts reached (10), no action
2026-02-28T17:05:01Z watchdog: stalled (age=1204m) but max restarts reached (10), no action
2026-02-28T17:10:01Z watchdog: stalled (age=1209m) but max restarts reached (10), no action
2026-02-28T17:20:01Z watchdog: stalled (age=1219m) but max restarts reached (10), no action
2026-02-28T17:25:02Z watchdog: stalled (age=1224m) but max restarts reached (10), no action
2026-02-28T17:30:01Z watchdog: stalled (age=1229m) but max restarts reached (10), no action
2026-02-28T17:35:01Z watchdog: stalled (age=1234m) but max restarts reached (10), no action
2026-02-28T17:40:01Z watchdog: stalled (age=1239m) but max restarts reached (10), no action
2026-02-28T17:45:01Z watchdog: stalled (age=1244m) but max restarts reached (10), no action
2026-02-28T17:55:01Z watchdog: stalled (age=1254m) but max restarts reached (10), no action
2026-02-28T18:10:01Z watchdog: stalled (age=1269m) but max restarts reached (10), no action
2026-02-28T18:20:01Z watchdog: stalled (age=1279m) but max restarts reached (10), no action
2026-02-28T18:30:01Z watchdog: stalled (age=1289m) but max restarts reached (10), no action
2026-02-28T18:35:01Z watchdog: stalled (age=1294m) but max restarts reached (10), no action
2026-02-28T18:55:01Z watchdog: stalled (age=1314m) but max restarts reached (10), no action
2026-02-28T19:05:01Z watchdog: stalled (age=1324m) but max restarts reached (10), no action
2026-02-28T19:15:02Z watchdog: stalled (age=1334m) but max restarts reached (10), no action
2026-02-28T19:45:01Z watchdog: stalled (age=1364m) but max restarts reached (10), no action
2026-02-28T19:50:01Z watchdog: stalled (age=1369m) but max restarts reached (10), no action
2026-02-28T19:55:01Z watchdog: stalled (age=1374m) but max restarts reached (10), no action
2026-02-28T20:00:01Z watchdog: stalled (age=1379m) but max restarts reached (10), no action
2026-02-28T20:05:01Z watchdog: stalled (age=1384m) but max restarts reached (10), no action
2026-02-28T20:15:01Z watchdog: stalled (age=1394m) but max restarts reached (10), no action
2026-02-28T20:20:01Z watchdog: stalled (age=1399m) but max restarts reached (10), no action
2026-02-28T20:30:01Z watchdog: stalled (age=1409m) but max restarts reached (10), no action
2026-02-28T20:35:01Z watchdog: stalled (age=1414m) but max restarts reached (10), no action
2026-02-28T20:40:01Z watchdog: stalled (age=1419m) but max restarts reached (10), no action
2026-02-28T20:50:01Z watchdog: stalled (age=1429m) but max restarts reached (10), no action
2026-02-28T20:55:01Z watchdog: stalled (age=1434m) but max restarts reached (10), no action
2026-02-28T21:45:02Z watchdog: stalled (age=1484m) but max restarts reached (10), no action
2026-02-28T21:55:01Z watchdog: stalled (age=1494m) but max restarts reached (10), no action
2026-02-28T22:00:01Z watchdog: stalled (age=1499m) but max restarts reached (10), no action
2026-02-28T22:05:01Z watchdog: stalled (age=1504m) but max restarts reached (10), no action
2026-02-28T22:10:01Z watchdog: stalled (age=1509m) but max restarts reached (10), no action
2026-02-28T23:20:01Z watchdog: stalled (age=1579m) but max restarts reached (10), no action
2026-02-28T23:25:01Z watchdog: stalled (age=1584m) but max restarts reached (10), no action
2026-02-28T23:35:01Z watchdog: stalled (age=1594m) but max restarts reached (10), no action
2026-02-28T23:40:01Z watchdog: stalled (age=1599m) but max restarts reached (10), no action
2026-02-28T23:50:01Z watchdog: stalled (age=1609m) but max restarts reached (10), no action
2026-02-28T23:55:01Z watchdog: stalled (age=1614m) but max restarts reached (10), no action
2026-03-01T00:05:02Z watchdog: stalled (age=1624m) but max restarts reached (10), no action
2026-03-01T00:10:01Z watchdog: stalled (age=1629m) but max restarts reached (10), no action
2026-03-01T00:15:01Z watchdog: healthy (age=1m), no action
2026-03-01T00:30:01Z watchdog: healthy (age=6m), no action
2026-03-01T00:45:01Z watchdog: healthy (age=10m), no action
2026-03-01T00:50:01Z watchdog: healthy (age=0m), no action
2026-03-01T00:55:01Z watchdog: healthy (age=3m), no action
2026-03-01T01:00:01Z watchdog: healthy (age=8m), no action
2026-03-01T01:05:01Z watchdog: healthy (age=13m), no action
2026-03-01T01:15:01Z watchdog: stalled (age=23m) but max restarts reached (10), no action
2026-03-01T01:20:01Z watchdog: stalled (age=28m) but max restarts reached (10), no action
2026-03-01T01:25:01Z watchdog: stalled (age=33m) but max restarts reached (10), no action
2026-03-01T01:35:01Z watchdog: stalled (age=43m) but max restarts reached (10), no action
2026-03-01T01:50:01Z watchdog: stalled (age=58m) but max restarts reached (10), no action
2026-03-01T01:55:01Z watchdog: stalled (age=63m) but max restarts reached (10), no action
2026-03-01T02:10:01Z watchdog: stalled (age=78m) but max restarts reached (10), no action
2026-03-01T02:15:01Z watchdog: stalled (age=83m) but max restarts reached (10), no action
2026-03-01T02:20:01Z watchdog: stalled (age=88m) but max restarts reached (10), no action
2026-03-01T02:25:01Z watchdog: stalled (age=93m) but max restarts reached (10), no action
2026-03-01T02:30:01Z watchdog: stalled (age=98m) but max restarts reached (10), no action
2026-03-01T02:35:02Z watchdog: stalled (age=103m) but max restarts reached (10), no action
2026-03-01T02:40:01Z watchdog: stalled (age=108m) but max restarts reached (10), no action
2026-03-01T02:45:01Z watchdog: stalled (age=113m) but max restarts reached (10), no action
2026-03-01T02:55:01Z watchdog: stalled (age=123m) but max restarts reached (10), no action
2026-03-01T03:15:01Z watchdog: healthy (age=19m), no action
2026-03-01T03:35:01Z watchdog: healthy (age=11m), no action
2026-03-01T03:45:01Z watchdog: stalled (age=21m) but max restarts reached (10), no action
2026-03-01T03:55:01Z watchdog: stalled (age=31m) but max restarts reached (10), no action
2026-03-01T04:00:01Z watchdog: stalled (age=36m) but max restarts reached (10), no action
2026-03-01T04:05:01Z watchdog: stalled (age=41m) but max restarts reached (10), no action
2026-03-01T04:10:01Z watchdog: stalled (age=46m) but max restarts reached (10), no action
2026-03-01T04:15:01Z watchdog: stalled (age=51m) but max restarts reached (10), no action
2026-03-01T04:25:01Z watchdog: stalled (age=61m) but max restarts reached (10), no action
2026-03-01T04:30:01Z watchdog: stalled (age=66m) but max restarts reached (10), no action
2026-03-01T04:35:01Z watchdog: stalled (age=71m) but max restarts reached (10), no action
2026-03-01T04:50:01Z watchdog: stalled (age=86m) but max restarts reached (10), no action
2026-03-01T04:55:01Z watchdog: stalled (age=91m) but max restarts reached (10), no action
2026-03-01T05:10:02Z watchdog: stalled (age=106m) but max restarts reached (10), no action
2026-03-01T05:15:01Z watchdog: stalled (age=111m) but max restarts reached (10), no action
2026-03-01T05:20:02Z watchdog: stalled (age=116m) but max restarts reached (10), no action
2026-03-01T05:25:01Z watchdog: stalled (age=121m) but max restarts reached (10), no action
2026-03-01T05:35:01Z watchdog: stalled (age=131m) but max restarts reached (10), no action
2026-03-01T05:45:01Z watchdog: stalled (age=141m) but max restarts reached (10), no action
2026-03-01T05:50:01Z watchdog: stalled (age=146m) but max restarts reached (10), no action
2026-03-01T05:55:01Z watchdog: stalled (age=151m) but max restarts reached (10), no action
2026-03-01T06:00:01Z watchdog: stalled (age=156m) but max restarts reached (10), no action
2026-03-01T06:05:01Z watchdog: stalled (age=161m) but max restarts reached (10), no action
2026-03-01T06:10:02Z watchdog: stalled (age=166m) but max restarts reached (10), no action
2026-03-01T06:15:01Z watchdog: stalled (age=171m) but max restarts reached (10), no action
2026-03-01T06:20:01Z watchdog: stalled (age=176m) but max restarts reached (10), no action
2026-03-01T06:25:01Z watchdog: stalled (age=181m) but max restarts reached (10), no action
2026-03-01T06:35:01Z watchdog: stalled (age=191m) but max restarts reached (10), no action
2026-03-01T06:40:01Z watchdog: stalled (age=196m) but max restarts reached (10), no action
2026-03-01T06:45:01Z watchdog: stalled (age=201m) but max restarts reached (10), no action
2026-03-01T06:50:02Z watchdog: stalled (age=206m) but max restarts reached (10), no action
2026-03-01T06:55:01Z watchdog: stalled (age=211m) but max restarts reached (10), no action
2026-03-01T07:10:01Z watchdog: stalled (age=226m) but max restarts reached (10), no action
2026-03-01T07:15:01Z watchdog: stalled (age=231m) but max restarts reached (10), no action
2026-03-01T07:20:01Z watchdog: stalled (age=236m) but max restarts reached (10), no action
2026-03-01T07:25:01Z watchdog: stalled (age=241m) but max restarts reached (10), no action
2026-03-01T07:35:01Z watchdog: stalled (age=251m) but max restarts reached (10), no action
2026-03-01T07:45:01Z watchdog: stalled (age=261m) but max restarts reached (10), no action
2026-03-01T07:50:02Z watchdog: stalled (age=266m) but max restarts reached (10), no action
2026-03-01T07:55:01Z watchdog: stalled (age=271m) but max restarts reached (10), no action
2026-03-01T08:00:01Z watchdog: stalled (age=276m) but max restarts reached (10), no action
2026-03-01T08:10:01Z watchdog: stalled (age=286m) but max restarts reached (10), no action
2026-03-01T08:15:02Z watchdog: stalled (age=291m) but max restarts reached (10), no action
2026-03-01T08:20:01Z watchdog: stalled (age=296m) but max restarts reached (10), no action
2026-03-01T08:25:01Z watchdog: stalled (age=301m) but max restarts reached (10), no action
2026-03-01T08:30:01Z watchdog: stalled (age=306m) but max restarts reached (10), no action
2026-03-01T08:40:01Z watchdog: stalled (age=316m) but max restarts reached (10), no action
2026-03-01T08:45:02Z watchdog: stalled (age=321m) but max restarts reached (10), no action
2026-03-01T08:50:01Z watchdog: stalled (age=326m) but max restarts reached (10), no action
2026-03-01T08:55:01Z watchdog: stalled (age=331m) but max restarts reached (10), no action
2026-03-01T09:00:02Z watchdog: stalled (age=336m) but max restarts reached (10), no action
2026-03-01T09:15:01Z watchdog: stalled (age=351m) but max restarts reached (10), no action
2026-03-01T09:20:01Z watchdog: stalled (age=356m) but max restarts reached (10), no action
2026-03-01T09:25:02Z watchdog: stalled (age=361m) but max restarts reached (10), no action
2026-03-01T09:35:01Z watchdog: stalled (age=371m) but max restarts reached (10), no action
2026-03-01T09:50:01Z watchdog: stalled (age=386m) but max restarts reached (10), no action
2026-03-01T09:55:01Z watchdog: stalled (age=391m) but max restarts reached (10), no action
2026-03-01T10:00:01Z watchdog: stalled (age=396m) but max restarts reached (10), no action
2026-03-01T10:05:01Z watchdog: stalled (age=401m) but max restarts reached (10), no action
2026-03-01T10:10:02Z watchdog: stalled (age=406m) but max restarts reached (10), no action
2026-03-01T10:20:01Z watchdog: stalled (age=416m) but max restarts reached (10), no action
2026-03-01T10:35:01Z watchdog: stalled (age=431m) but max restarts reached (10), no action
2026-03-01T10:45:01Z watchdog: healthy (age=5m), no action
2026-03-01T10:55:01Z watchdog: healthy (age=15m), no action
2026-03-01T11:05:01Z watchdog: stalled (age=25m) but max restarts reached (10), no action
2026-03-01T11:15:01Z watchdog: stalled (age=35m) but max restarts reached (10), no action
2026-03-01T11:20:01Z watchdog: stalled (age=40m) but max restarts reached (10), no action
2026-03-01T11:30:01Z watchdog: stalled (age=50m) but max restarts reached (10), no action
2026-03-01T11:40:01Z watchdog: stalled (age=60m) but max restarts reached (10), no action
2026-03-01T11:45:01Z watchdog: stalled (age=65m) but max restarts reached (10), no action
2026-03-01T11:50:01Z watchdog: stalled (age=70m) but max restarts reached (10), no action
2026-03-01T12:05:01Z watchdog: stalled (age=85m) but max restarts reached (10), no action
2026-03-01T12:15:01Z watchdog: stalled (age=95m) but max restarts reached (10), no action
2026-03-01T12:20:01Z watchdog: stalled (age=100m) but max restarts reached (10), no action
2026-03-01T12:30:01Z watchdog: stalled (age=110m) but max restarts reached (10), no action
2026-03-01T12:35:01Z watchdog: stalled (age=115m) but max restarts reached (10), no action
2026-03-01T13:05:02Z watchdog: stalled (age=145m) but max restarts reached (10), no action
2026-03-01T13:15:01Z watchdog: stalled (age=155m) but max restarts reached (10), no action
2026-03-01T13:25:01Z watchdog: stalled (age=165m) but max restarts reached (10), no action
2026-03-01T13:35:01Z watchdog: stalled (age=175m) but max restarts reached (10), no action
2026-03-01T13:45:01Z watchdog: stalled (age=185m) but max restarts reached (10), no action
2026-03-01T13:50:01Z watchdog: stalled (age=190m) but max restarts reached (10), no action
2026-03-01T13:55:01Z watchdog: stalled (age=195m) but max restarts reached (10), no action
2026-03-01T14:00:01Z watchdog: stalled (age=200m) but max restarts reached (10), no action
2026-03-01T14:05:01Z watchdog: stalled (age=205m) but max restarts reached (10), no action
2026-03-01T14:15:01Z watchdog: stalled (age=215m) but max restarts reached (10), no action
2026-03-01T14:20:01Z watchdog: stalled (age=220m) but max restarts reached (10), no action
2026-03-01T14:25:01Z watchdog: stalled (age=225m) but max restarts reached (10), no action
2026-03-01T14:30:01Z watchdog: stalled (age=230m) but max restarts reached (10), no action
2026-03-01T14:35:01Z watchdog: stalled (age=235m) but max restarts reached (10), no action
2026-03-01T14:40:01Z watchdog: stalled (age=240m) but max restarts reached (10), no action
2026-03-01T14:45:01Z watchdog: stalled (age=245m) but max restarts reached (10), no action
2026-03-01T14:50:01Z watchdog: stalled (age=250m) but max restarts reached (10), no action
2026-03-01T14:55:01Z watchdog: stalled (age=255m) but max restarts reached (10), no action
2026-03-01T15:05:01Z watchdog: stalled (age=265m) but max restarts reached (10), no action
2026-03-01T15:10:01Z watchdog: stalled (age=270m) but max restarts reached (10), no action
2026-03-01T15:15:01Z watchdog: stalled (age=275m) but max restarts reached (10), no action
2026-03-01T15:25:01Z watchdog: stalled (age=285m) but max restarts reached (10), no action
2026-03-01T15:30:01Z watchdog: stalled (age=290m) but max restarts reached (10), no action
2026-03-01T15:40:01Z watchdog: healthy (age=0m), no action
2026-03-01T15:55:01Z watchdog: healthy (age=6m), no action
2026-03-01T16:00:01Z watchdog: healthy (age=3m), no action
2026-03-01T16:05:01Z watchdog: healthy (age=8m), no action
2026-03-01T16:10:01Z watchdog: healthy (age=13m), no action
2026-03-01T16:15:01Z watchdog: healthy (age=18m), no action
2026-03-01T16:20:01Z watchdog: stalled (age=23m) but max restarts reached (10), no action
2026-03-01T16:25:01Z watchdog: stalled (age=28m) but max restarts reached (10), no action
2026-03-01T16:30:01Z watchdog: stalled (age=33m) but max restarts reached (10), no action
2026-03-01T16:40:01Z watchdog: stalled (age=43m) but max restarts reached (10), no action
2026-03-01T16:50:01Z watchdog: stalled (age=53m) but max restarts reached (10), no action
2026-03-01T17:15:01Z watchdog: stalled (age=78m) but max restarts reached (10), no action
2026-03-01T17:20:01Z watchdog: stalled (age=83m) but max restarts reached (10), no action
2026-03-01T17:30:01Z watchdog: stalled (age=93m) but max restarts reached (10), no action
2026-03-01T17:35:01Z watchdog: stalled (age=98m) but max restarts reached (10), no action
2026-03-01T17:45:01Z watchdog: stalled (age=108m) but max restarts reached (10), no action
2026-03-01T17:55:01Z watchdog: stalled (age=118m) but max restarts reached (10), no action
2026-03-01T18:00:01Z watchdog: stalled (age=123m) but max restarts reached (10), no action
2026-03-01T18:05:01Z watchdog: stalled (age=128m) but max restarts reached (10), no action
2026-03-01T18:10:01Z watchdog: healthy (age=0m), no action
2026-03-01T18:15:01Z watchdog: healthy (age=4m), no action
2026-03-01T18:20:01Z watchdog: healthy (age=9m), no action
2026-03-01T18:30:02Z watchdog: healthy (age=19m), no action
2026-03-01T18:55:01Z watchdog: stalled (age=44m) but max restarts reached (10), no action
2026-03-01T19:00:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-01T19:10:01Z watchdog: healthy (age=0m), no action
2026-03-01T19:15:01Z watchdog: healthy (age=4m), no action
2026-03-01T19:30:01Z watchdog: healthy (age=13m), no action
2026-03-01T19:35:01Z watchdog: healthy (age=18m), no action
2026-03-01T19:40:01Z watchdog: stalled (age=23m) but max restarts reached (10), no action
2026-03-01T19:55:01Z watchdog: stalled (age=38m) but max restarts reached (10), no action
2026-03-01T20:00:01Z watchdog: stalled (age=43m) but max restarts reached (10), no action
2026-03-01T20:05:01Z watchdog: stalled (age=48m) but max restarts reached (10), no action
2026-03-01T20:10:01Z watchdog: stalled (age=53m) but max restarts reached (10), no action
2026-03-01T20:20:01Z watchdog: stalled (age=63m) but max restarts reached (10), no action
2026-03-01T20:30:01Z watchdog: stalled (age=73m) but max restarts reached (10), no action
2026-03-01T20:45:01Z watchdog: stalled (age=88m) but max restarts reached (10), no action
2026-03-01T20:50:01Z watchdog: stalled (age=93m) but max restarts reached (10), no action
2026-03-01T20:55:01Z watchdog: healthy (age=4m), no action
2026-03-01T21:00:01Z watchdog: healthy (age=2m), no action
2026-03-01T21:10:02Z watchdog: healthy (age=12m), no action
2026-03-01T21:30:01Z watchdog: stalled (age=32m) but max restarts reached (10), no action
2026-03-01T21:35:01Z watchdog: stalled (age=37m) but max restarts reached (10), no action
2026-03-01T21:40:01Z watchdog: stalled (age=42m) but max restarts reached (10), no action
2026-03-01T21:55:01Z watchdog: stalled (age=57m) but max restarts reached (10), no action
2026-03-01T22:00:01Z watchdog: stalled (age=62m) but max restarts reached (10), no action
2026-03-01T22:10:01Z watchdog: stalled (age=72m) but max restarts reached (10), no action
2026-03-01T22:20:01Z watchdog: stalled (age=82m) but max restarts reached (10), no action
2026-03-01T22:30:01Z watchdog: stalled (age=92m) but max restarts reached (10), no action
2026-03-01T22:40:01Z watchdog: stalled (age=102m) but max restarts reached (10), no action
2026-03-01T22:45:01Z watchdog: stalled (age=107m) but max restarts reached (10), no action
2026-03-01T22:55:01Z watchdog: stalled (age=117m) but max restarts reached (10), no action
2026-03-01T23:00:01Z watchdog: stalled (age=122m) but max restarts reached (10), no action
2026-03-01T23:10:01Z watchdog: stalled (age=132m) but max restarts reached (10), no action
2026-03-01T23:25:01Z watchdog: stalled (age=147m) but max restarts reached (10), no action
2026-03-01T23:30:01Z watchdog: stalled (age=152m) but max restarts reached (10), no action
2026-03-01T23:40:01Z watchdog: stalled (age=162m) but max restarts reached (10), no action
2026-03-02T00:00:01Z watchdog: stalled (age=182m) but max restarts reached (10), no action
2026-03-02T00:05:01Z watchdog: stalled (age=187m) but max restarts reached (10), no action
2026-03-02T00:10:01Z watchdog: stalled (age=192m) but max restarts reached (10), no action
2026-03-02T00:30:01Z watchdog: stalled (age=212m) but max restarts reached (10), no action
2026-03-02T00:45:01Z watchdog: stalled (age=227m) but max restarts reached (10), no action
2026-03-02T00:50:01Z watchdog: stalled (age=232m) but max restarts reached (10), no action
2026-03-02T01:15:01Z watchdog: stalled (age=257m) but max restarts reached (10), no action
2026-03-02T01:25:01Z watchdog: stalled (age=267m) but max restarts reached (10), no action
2026-03-02T01:30:02Z watchdog: stalled (age=272m) but max restarts reached (10), no action
2026-03-02T01:40:01Z watchdog: stalled (age=282m) but max restarts reached (10), no action
2026-03-02T01:45:01Z watchdog: stalled (age=287m) but max restarts reached (10), no action
2026-03-02T01:50:01Z watchdog: stalled (age=292m) but max restarts reached (10), no action
2026-03-02T01:55:01Z watchdog: stalled (age=297m) but max restarts reached (10), no action
2026-03-02T02:00:01Z watchdog: stalled (age=302m) but max restarts reached (10), no action
2026-03-02T02:05:01Z watchdog: stalled (age=307m) but max restarts reached (10), no action
2026-03-02T02:10:01Z watchdog: stalled (age=312m) but max restarts reached (10), no action
2026-03-02T02:15:02Z watchdog: stalled (age=317m) but max restarts reached (10), no action
2026-03-02T02:20:01Z watchdog: stalled (age=322m) but max restarts reached (10), no action
2026-03-02T02:30:01Z watchdog: stalled (age=332m) but max restarts reached (10), no action
2026-03-02T02:40:01Z watchdog: stalled (age=342m) but max restarts reached (10), no action
2026-03-02T02:45:01Z watchdog: stalled (age=347m) but max restarts reached (10), no action
2026-03-02T02:50:01Z watchdog: stalled (age=352m) but max restarts reached (10), no action
2026-03-02T03:00:01Z watchdog: stalled (age=362m) but max restarts reached (10), no action
2026-03-02T03:15:01Z watchdog: stalled (age=377m) but max restarts reached (10), no action
2026-03-02T03:20:01Z watchdog: stalled (age=382m) but max restarts reached (10), no action
2026-03-02T03:25:01Z watchdog: stalled (age=387m) but max restarts reached (10), no action
2026-03-02T03:40:01Z watchdog: stalled (age=402m) but max restarts reached (10), no action
2026-03-02T03:55:01Z watchdog: stalled (age=417m) but max restarts reached (10), no action
2026-03-02T04:00:01Z watchdog: stalled (age=422m) but max restarts reached (10), no action
2026-03-02T04:10:01Z watchdog: healthy (age=5m), no action
2026-03-02T04:15:01Z watchdog: healthy (age=10m), no action
2026-03-02T04:25:01Z watchdog: stalled (age=20m) but max restarts reached (10), no action
2026-03-02T04:30:01Z watchdog: stalled (age=25m) but max restarts reached (10), no action
2026-03-02T04:40:01Z watchdog: stalled (age=35m) but max restarts reached (10), no action
2026-03-02T04:45:01Z watchdog: stalled (age=40m) but max restarts reached (10), no action
2026-03-02T04:50:01Z watchdog: stalled (age=45m) but max restarts reached (10), no action
2026-03-02T04:55:01Z watchdog: stalled (age=50m) but max restarts reached (10), no action
2026-03-02T05:05:01Z watchdog: stalled (age=60m) but max restarts reached (10), no action
2026-03-02T05:10:01Z watchdog: stalled (age=65m) but max restarts reached (10), no action
2026-03-02T05:15:01Z watchdog: stalled (age=70m) but max restarts reached (10), no action
2026-03-02T05:25:01Z watchdog: stalled (age=80m) but max restarts reached (10), no action
2026-03-02T05:30:01Z watchdog: stalled (age=85m) but max restarts reached (10), no action
2026-03-02T05:40:02Z watchdog: stalled (age=95m) but max restarts reached (10), no action
2026-03-02T05:45:01Z watchdog: stalled (age=100m) but max restarts reached (10), no action
2026-03-02T06:00:02Z watchdog: stalled (age=115m) but max restarts reached (10), no action
2026-03-02T06:15:01Z watchdog: stalled (age=130m) but max restarts reached (10), no action
2026-03-02T06:20:01Z watchdog: stalled (age=135m) but max restarts reached (10), no action
2026-03-02T06:30:01Z watchdog: stalled (age=145m) but max restarts reached (10), no action
2026-03-02T06:35:01Z watchdog: stalled (age=150m) but max restarts reached (10), no action
2026-03-02T06:50:01Z watchdog: stalled (age=165m) but max restarts reached (10), no action
2026-03-02T06:55:01Z watchdog: stalled (age=170m) but max restarts reached (10), no action
2026-03-02T07:00:01Z watchdog: stalled (age=175m) but max restarts reached (10), no action
2026-03-02T07:05:01Z watchdog: stalled (age=180m) but max restarts reached (10), no action
2026-03-02T07:10:01Z watchdog: stalled (age=185m) but max restarts reached (10), no action
2026-03-02T07:15:01Z watchdog: stalled (age=190m) but max restarts reached (10), no action
2026-03-02T07:20:01Z watchdog: stalled (age=195m) but max restarts reached (10), no action
2026-03-02T07:30:01Z watchdog: stalled (age=205m) but max restarts reached (10), no action
2026-03-02T07:35:01Z watchdog: stalled (age=210m) but max restarts reached (10), no action
2026-03-02T07:40:01Z watchdog: stalled (age=215m) but max restarts reached (10), no action
2026-03-02T07:45:01Z watchdog: stalled (age=220m) but max restarts reached (10), no action
2026-03-02T07:50:02Z watchdog: stalled (age=225m) but max restarts reached (10), no action
2026-03-02T08:05:01Z watchdog: stalled (age=240m) but max restarts reached (10), no action
2026-03-02T08:10:01Z watchdog: stalled (age=245m) but max restarts reached (10), no action
2026-03-02T08:15:01Z watchdog: stalled (age=250m) but max restarts reached (10), no action
2026-03-02T08:20:01Z watchdog: stalled (age=255m) but max restarts reached (10), no action
2026-03-02T08:25:01Z watchdog: stalled (age=260m) but max restarts reached (10), no action
2026-03-02T08:40:01Z watchdog: stalled (age=275m) but max restarts reached (10), no action
2026-03-02T08:55:01Z watchdog: stalled (age=290m) but max restarts reached (10), no action
2026-03-02T09:00:01Z watchdog: stalled (age=295m) but max restarts reached (10), no action
2026-03-02T09:05:02Z watchdog: stalled (age=300m) but max restarts reached (10), no action
2026-03-02T09:10:01Z watchdog: stalled (age=305m) but max restarts reached (10), no action
2026-03-02T09:15:01Z watchdog: stalled (age=310m) but max restarts reached (10), no action
2026-03-02T09:20:01Z watchdog: stalled (age=315m) but max restarts reached (10), no action
2026-03-02T09:25:01Z watchdog: stalled (age=320m) but max restarts reached (10), no action
2026-03-02T09:35:01Z watchdog: stalled (age=330m) but max restarts reached (10), no action
2026-03-02T09:40:02Z watchdog: stalled (age=335m) but max restarts reached (10), no action
2026-03-02T09:45:01Z watchdog: stalled (age=340m) but max restarts reached (10), no action
2026-03-02T10:05:01Z watchdog: stalled (age=360m) but max restarts reached (10), no action
2026-03-02T10:10:01Z watchdog: stalled (age=365m) but max restarts reached (10), no action
2026-03-02T10:15:01Z watchdog: stalled (age=370m) but max restarts reached (10), no action
2026-03-02T10:20:02Z watchdog: stalled (age=375m) but max restarts reached (10), no action
2026-03-02T10:35:02Z watchdog: stalled (age=390m) but max restarts reached (10), no action
2026-03-02T10:40:01Z watchdog: stalled (age=395m) but max restarts reached (10), no action
2026-03-02T10:45:01Z watchdog: stalled (age=400m) but max restarts reached (10), no action
2026-03-02T10:50:02Z watchdog: stalled (age=405m) but max restarts reached (10), no action
2026-03-02T10:55:01Z watchdog: stalled (age=410m) but max restarts reached (10), no action
2026-03-02T11:05:01Z watchdog: stalled (age=420m) but max restarts reached (10), no action
2026-03-02T11:15:01Z watchdog: stalled (age=430m) but max restarts reached (10), no action
2026-03-02T11:20:01Z watchdog: stalled (age=435m) but max restarts reached (10), no action
2026-03-02T11:25:01Z watchdog: stalled (age=440m) but max restarts reached (10), no action
2026-03-02T11:30:01Z watchdog: stalled (age=445m) but max restarts reached (10), no action
2026-03-02T11:35:01Z watchdog: stalled (age=450m) but max restarts reached (10), no action
2026-03-02T11:40:01Z watchdog: stalled (age=455m) but max restarts reached (10), no action
2026-03-02T11:45:01Z watchdog: stalled (age=460m) but max restarts reached (10), no action
2026-03-02T11:55:01Z watchdog: stalled (age=470m) but max restarts reached (10), no action
2026-03-02T12:00:02Z watchdog: stalled (age=475m) but max restarts reached (10), no action
2026-03-02T12:05:01Z watchdog: stalled (age=480m) but max restarts reached (10), no action
2026-03-02T12:15:01Z watchdog: stalled (age=490m) but max restarts reached (10), no action
2026-03-02T12:25:01Z watchdog: stalled (age=500m) but max restarts reached (10), no action
2026-03-02T12:30:01Z watchdog: stalled (age=505m) but max restarts reached (10), no action
2026-03-02T12:35:01Z watchdog: stalled (age=510m) but max restarts reached (10), no action
2026-03-02T12:45:01Z watchdog: stalled (age=520m) but max restarts reached (10), no action
2026-03-02T12:50:02Z watchdog: stalled (age=525m) but max restarts reached (10), no action
2026-03-02T13:00:01Z watchdog: stalled (age=535m) but max restarts reached (10), no action
2026-03-02T13:05:01Z watchdog: stalled (age=540m) but max restarts reached (10), no action
2026-03-02T13:10:01Z watchdog: stalled (age=545m) but max restarts reached (10), no action
2026-03-02T13:15:01Z watchdog: stalled (age=550m) but max restarts reached (10), no action
2026-03-02T13:20:01Z watchdog: stalled (age=555m) but max restarts reached (10), no action
2026-03-02T13:25:01Z watchdog: stalled (age=560m) but max restarts reached (10), no action
2026-03-02T13:30:01Z watchdog: stalled (age=565m) but max restarts reached (10), no action
2026-03-02T13:35:01Z watchdog: stalled (age=570m) but max restarts reached (10), no action
2026-03-02T13:45:01Z watchdog: stalled (age=580m) but max restarts reached (10), no action
2026-03-02T13:50:01Z watchdog: stalled (age=585m) but max restarts reached (10), no action
2026-03-02T14:00:01Z watchdog: stalled (age=595m) but max restarts reached (10), no action
2026-03-02T14:05:01Z watchdog: stalled (age=600m) but max restarts reached (10), no action
